2025-12-03T08:38:55.224Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.277Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.303Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.357Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.244Z sh[3152]:  active
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.728449: nl80211: key_mgmt=0x3f0f enc=0x76f auth=0x7 flags=0xac38729abcfbc4 rrm_flags=0x0 probe_resp_offloads=0x0 max_stations=32 max_remain_on_chan=5000 max_scan_ssids=10
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.728467: nl80211: interface wlan0 in phy phy0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.739793: nl80211: Set mode ifindex 6 iftype 2 (STATION)
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.739984: nl80211: Subscribe to mgmt frames with non-AP handle 0x168cd8
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740016: nl80211: Register frame type=0xb0 (WLAN_FC_STYPE_AUTH) nl_handle=0x168cd8 match=0300 multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740100: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0104 multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740144: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040a multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740184: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040b multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740223: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040c multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740261: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040d multicast=0
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.740299: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090a multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740337: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090b multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740381: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090c multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740419: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090d multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740459: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0409506f9a09 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740499: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7f506f9a09 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740554: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0801 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740591: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=12 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740635: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=06 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740673: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a07 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740711: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a11 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740749: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a0b multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740787: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1101 multicast=0
2025-12-03T08:38:55.767Z sh[3245]:  1764751135.740824: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1102 multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.740862: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0505 multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.740900: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0500 multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.740954: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1301 multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.740993: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1305 multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.741032: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7e506f9a1a multicast=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.741438: rfkill: initial event: idx=0 type=1 op=0 soft=0 hard=0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.741592: netlink: Operstate: ifindex=6 linkmode=1 (userspace-control), operstate=5 (IF_OPER_DORMANT)
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.757228: Add interface wlan0 to a new radio phy0
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.757918: nl80211: Regulatory information - country=GB (DFS-ETSI)
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.757944: nl80211: 2402-2482 @ 40 MHz 20 mBm
2025-12-03T08:38:55.768Z sh[3245]:  1764751135.757957: nl80211: 5170-5250 @ 80 MHz 23 mBm (no outdoor)
2025-12-03T08:38:55.769Z sh[3245]:  1764751135.757968: nl80211: 5250-5330 @ 80 MHz 23 mBm (no outdoor) (DFS)
