2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Current alias: Sky
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ad0
2025-12-03T08:38:57.002Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000010
2025-12-03T08:38:57.002Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-16T01:31:53.477Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:property_set_mode() sending Set Powered command for index 0
2026-01-16T01:31:53.552Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x000414
2026-01-16T01:31:53.572Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:property_set_mode_complete() Success (0x00)
2026-01-16T01:31:53.572Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ad1
2026-01-16T01:31:53.573Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000001
2026-01-16T01:31:53.573Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-16T01:31:53.573Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_start() adapter /org/bluez/hci0 has been enabled
2026-01-16T01:31:53.573Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:trigger_passive_scanning()
2026-01-16T01:31:53.666Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_discovery_filter() sender :1.71
2026-01-16T01:31:53.666Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:parse_discovery_filter_dict() filtered discovery params: transport: 6 rssi: 32767 pathloss: 32767  duplicate data: false discoverable false
2026-01-16T01:31:53.669Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_discovery_filter() successfully pre-set filter
2026-01-16T01:31:53.675Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:property_set_mode() sending Set Bondable command for index 0
2026-01-16T01:31:53.675Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:property_set_mode_complete() Success (0x00)
2026-01-16T01:31:53.675Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ac1
2026-01-16T01:31:53.675Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000010
2026-01-16T01:31:53.678Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-16T01:31:53.713Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_connect_le() Connection attempt to: 20:44:41:00:12:6D
2026-01-16T01:31:54.530Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/avdtp.c:avdtp_register_sep() SEP 0xba718 registered: type:0 codec:0 seid:1
2026-01-16T01:31:54.530Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2026-01-16T01:31:54.530Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10003
2026-01-16T01:31:54.530Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000019-0000-1000-8000-00805f9
2026-01-16T01:31:54.530Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2026-01-16T01:31:54.531Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2026-01-16T01:31:54.532Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110a-0000-1000-8000-00805f9
2026-01-16T01:31:54.532Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110d-0000-1000-8000-00805f9
2026-01-16T01:31:54.532Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2026-01-16T01:31:54.532Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2026-01-16T01:31:54.546Z bluetoothd[3410]:  Endpoint registered: sender=:1.79 path=/MediaEndpoint/SBC/A2DP/Source
2026-01-16T01:31:54.546Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x080414
2026-01-16T01:31:54.548Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/avdtp.c:avdtp_register_sep() SEP 0xb8640 registered: type:1 codec:0 seid:2
2026-01-16T01:31:54.548Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2026-01-16T01:31:54.548Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10004
2026-01-16T01:31:54.548Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000019-0000-1000-8000-00805f9
2026-01-16T01:31:54.548Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2026-01-16T01:31:54.549Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2026-01-16T01:31:54.549Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110b-0000-1000-8000-00805f9
2026-01-16T01:31:54.549Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110d-0000-1000-8000-00805f9
2026-01-16T01:31:54.549Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2026-01-16T01:31:54.549Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2026-01-16T01:31:54.550Z bluetoothd[3410]:  Endpoint registered: sender=:1.79 path=/MediaEndpoint/SBC/A2DP/Sink
2026-01-16T01:31:54.550Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x0c0414
2026-01-16T01:31:54.660Z bluetoothd[3410]:  ../bluez-5.48/src/agent.c:agent_ref() 0xb0590: ref=1
2026-01-16T01:31:54.661Z bluetoothd[3410]:  ../bluez-5.48/src/agent.c:register_agent() agent :1.79
2026-01-16T01:31:54.665Z bluetoothd[3410]:  ../bluez-5.48/src/agent.c:add_default_agent() Default agent set to :1.79 /org/bluez/agent_4805
2026-01-16T01:38:48.645Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:connected_callback() hci0 device 20:44:41:00:12:6D connected eir_len 30
2026-01-16T01:38:48.664Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_attach_att() Elevating security level since LTK is available
2026-01-16T01:38:48.673Z bluetoothd[3410]:  ../bluez-5.48/attrib/gattrib.c:g_attrib_ref() 0xcd968: g_attrib_ref=1
2026-01-16T01:38:48.673Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:load_gatt_db() Restoring 20:44:41:00:12:6D gatt database from file
2026-01-16T01:38:48.673Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file()
2026-01-16T01:38:48.674Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:DA:CD:CB:2D:7B/cache/20:44:41:00:12:6D, dir name /proc/self/fd/300/D4:DA:CD:CB:2D:7B/cache/
2026-01-16T01:38:48.674Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file 20:44:41:00:12:6D. versus dname 20:44:41:00:12:6D
2026-01-16T01:38:48.674Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: 20:44:41:00:12:6D
2026-01-16T01:38:48.674Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:load_gatt_db() Restoring 20:44:41:00:12:6D gatt database from file
