2026-01-15T02:46:39.521Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110a-0000-1000-8000-00805f9
2026-01-15T02:46:39.521Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110d-0000-1000-8000-00805f9
2026-01-15T02:46:39.523Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2026-01-15T02:46:39.523Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2026-01-15T02:46:39.524Z bluetoothd[3416]:  Endpoint registered: sender=:1.82 path=/MediaEndpoint/SBC/A2DP/Source
2026-01-15T02:46:39.526Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x080414
2026-01-15T02:46:39.537Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/avdtp.c:avdtp_register_sep() SEP 0xc6c78 registered: type:1 codec:0 seid:2
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10004
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000019-0000-1000-8000-00805f9
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110b-0000-1000-8000-00805f9
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110d-0000-1000-8000-00805f9
2026-01-15T02:46:39.538Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2026-01-15T02:46:39.539Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2026-01-15T02:46:39.539Z bluetoothd[3416]:  Endpoint registered: sender=:1.82 path=/MediaEndpoint/SBC/A2DP/Sink
2026-01-15T02:46:39.552Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x0c0414
2026-01-15T02:46:39.609Z bluetoothd[3416]:  ../bluez-5.48/src/agent.c:agent_ref() 0xbc4c8: ref=1
2026-01-15T02:46:39.609Z bluetoothd[3416]:  ../bluez-5.48/src/agent.c:register_agent() agent :1.82
2026-01-15T02:46:39.611Z bluetoothd[3416]:  ../bluez-5.48/src/agent.c:add_default_agent() Default agent set to :1.82 /org/bluez/agent_4928
2026-01-16T02:35:09.716Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:connected_callback() hci0 device 20:44:41:02:DC:C0 connected eir_len 30
2026-01-16T02:35:09.733Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_attach_att() Elevating security level since LTK is available
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/attrib/gattrib.c:g_attrib_ref() 0xcd540: g_attrib_ref=1
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:load_gatt_db() Restoring 20:44:41:02:DC:C0 gatt database from file
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file()
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check if we need to recover: /proc/self/fd/300/D4:52:EE:59:E3:E9/cache/20:44:41:02:DC:C0, dir name /proc/self/fd/300/D4:52:EE:59:E3:E9/cache/
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file 20:44:41:02:DC:C0. versus dname 20:44:41:02:DC:C0
2026-01-16T02:35:09.739Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Ignore file: 20:44:41:02:DC:C0
2026-01-16T02:35:09.740Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:restore_file() Check file: target file 20:44:41:02:DC:C0. versus dname D0:C9:85:A4:D3:CD
